N	M	D	H	PowerDemand
1141	2	17	12	849
1142	2	17	13	849
1143	2	17	14	849
1144	2	17	15	849
1145	2	17	16	849
1146	2	17	17	729
1147	2	17	18	729
1148	2	17	19	729
1149	2	17	20	729
1150	2	17	21	729
1151	2	17	22	729
1152	2	17	23	429
1153	2	18	0	429
1154	2	18	1	429
1155	2	18	2	429
1156	2	18	3	429
1157	2	18	4	429
1158	2	18	5	429
1159	2	18	6	609
1160	2	18	7	609
1161	2	18	8	609
1162	2	18	9	609
1163	2	18	10	609
1164	2	18	11	609
1165	2	18	12	849
1166	2	18	13	849
1167	2	18	14	849
1168	2	18	15	849
1169	2	18	16	849
1170	2	18	17	729
1171	2	18	18	729
1172	2	18	19	729
1173	2	18	20	729
1174	2	18	21	729
1175	2	18	22	729
1176	2	18	23	429
1177	2	19	0	566.2
1178	2	19	1	566.2
1179	2	19	2	566.2
1180	2	19	3	566.2
1181	2	19	4	566.2
1182	2	19	5	566.2
1183	2	19	6	1423.13333333333
1184	2	19	7	9877.1407852531
1185	2	19	8	6168
1186	2	19	9	6168
1187	2	19	10	9141.2
1188	2	19	11	9052.6
1189	2	19	12	7866.1
1190	2	19	13	849
1191	2	19	14	5481.5
1192	2	19	15	9187.5
1193	2	19	16	4820.33333333333
1194	2	19	17	729
1195	2	19	18	829.893777941222
1196	2	19	19	1131.53333333333
1197	2	19	20	866.2
1198	2	19	21	866.2
1199	2	19	22	866.2
1200	2	19	23	566.2
1201	2	20	0	566.2
1202	2	20	1	566.2
1203	2	20	2	566.2
1204	2	20	3	566.2
1205	2	20	4	566.2
1206	2	20	5	566.2
1207	2	20	6	1408.97265272666
1208	2	20	7	9874
1209	2	20	8	6168
1210	2	20	9	6168
1211	2	20	10	8641.2
1212	2	20	11	8552.6
1213	2	20	12	7866.1
1214	2	20	13	849
1215	2	20	14	5481.5
1216	2	20	15	9187.5
1217	2	20	16	4820.33333333333
1218	2	20	17	729
1219	2	20	18	825.880952568711
1220	2	20	19	1131.53333333333
1221	2	20	20	866.2
1222	2	20	21	866.2
1223	2	20	22	866.2
1224	2	20	23	566.2
1225	2	21	0	566.2
1226	2	21	1	566.2
1227	2	21	2	566.2
1228	2	21	3	566.2
1229	2	21	4	566.2
1230	2	21	5	566.2
1231	2	21	6	1391.43847738312
1232	2	21	7	9874
1233	2	21	8	6168
1234	2	21	9	6168
1235	2	21	10	9141.2
1236	2	21	11	9052.6
1237	2	21	12	7866.1
1238	2	21	13	849
1239	2	21	14	5481.5
1240	2	21	15	9187.5
1241	2	21	16	4820.33333333333
1242	2	21	17	729
1243	2	21	18	821.864626214551
1244	2	21	19	1131.53333333333
1245	2	21	20	866.2
1246	2	21	21	866.2
1247	2	21	22	866.2
1248	2	21	23	566.2
1249	2	22	0	566.2
1250	2	22	1	566.2
1251	2	22	2	566.2
1252	2	22	3	566.2
1253	2	22	4	566.2
1254	2	22	5	566.2
1255	2	22	6	1373.67674613942
1256	2	22	7	9874
1257	2	22	8	6168
1258	2	22	9	6168
1259	2	22	10	8641.2
1260	2	22	11	8552.6
1261	2	22	12	7866.1
1262	2	22	13	849
1263	2	22	14	5481.5
1264	2	22	15	9187.5
1265	2	22	16	4820.33333333333
1266	2	22	17	729
1267	2	22	18	817.845297146976
1268	2	22	19	1131.53333333333
1269	2	22	20	866.2
1270	2	22	21	866.2
1271	2	22	22	866.2
1272	2	22	23	566.2
1273	2	23	0	566.2
1274	2	23	1	566.2
1275	2	23	2	566.2
1276	2	23	3	566.2
1277	2	23	4	566.2
1278	2	23	5	566.2
1279	2	23	6	1355.69262637823
1280	2	23	7	9874
1281	2	23	8	6168
1282	2	23	9	6168
1283	2	23	10	9141.2
1284	2	23	11	9052.6
1285	2	23	12	7866.1
1286	2	23	13	849
1287	2	23	14	5481.5
1288	2	23	15	9187.5
1289	2	23	16	4820.33333333333
1290	2	23	17	729
1291	2	23	18	813.823409702721
1292	2	23	19	1131.53333333333
1293	2	23	20	866.2
1294	2	23	21	866.2
1295	2	23	22	866.2
1296	2	23	23	566.2
1297	2	24	0	429
1298	2	24	1	429
1299	2	24	2	429
1300	2	24	3	429
1301	2	24	4	429
1302	2	24	5	429
1303	2	24	6	609
1304	2	24	7	609
1305	2	24	8	609
1306	2	24	9	609
1307	2	24	10	609
1308	2	24	11	609
1309	2	24	12	849
1310	2	24	13	849
1311	2	24	14	849
1312	2	24	15	849
1313	2	24	16	849
1314	2	24	17	729
1315	2	24	18	729
1316	2	24	19	729
1317	2	24	20	729
1318	2	24	21	729
1319	2	24	22	729
1320	2	24	23	429
1321	2	25	0	429
1322	2	25	1	429
1323	2	25	2	429
1324	2	25	3	429
1325	2	25	4	429
1326	2	25	5	429
1327	2	25	6	609
1328	2	25	7	609
1329	2	25	8	609
1330	2	25	9	609
1331	2	25	10	609
1332	2	25	11	609
1333	2	25	12	849
1334	2	25	13	849
1335	2	25	14	849
1336	2	25	15	849
1337	2	25	16	849
1338	2	25	17	729
1339	2	25	18	729
1340	2	25	19	729
1341	2	25	20	729
1342	2	25	21	729
1343	2	25	22	729
1344	2	25	23	429
1345	2	26	0	566.2
1346	2	26	1	566.2
1347	2	26	2	566.2
1348	2	26	3	566.2
1349	2	26	4	566.2
1350	2	26	5	566.2
1351	2	26	6	1300.45781066954
1352	2	26	7	9874
1353	2	26	8	6168
1354	2	26	9	6168
1355	2	26	10	9141.2
1356	2	26	11	9052.6
1357	2	26	12	7866.1
1358	2	26	13	849
1359	2	26	14	5481.5
1360	2	26	15	9187.5
1361	2	26	16	4820.33333333333
1362	2	26	17	729
1363	2	26	18	801.74605368505
1364	2	26	19	1131.53333333333
1365	2	26	20	866.2
1366	2	26	21	866.2
1367	2	26	22	866.2
1368	2	26	23	566.2
1369	2	27	0	566.2
1370	2	27	1	566.2
1371	2	27	2	566.2
1372	2	27	3	566.2
1373	2	27	4	566.2
1374	2	27	5	566.2
1375	2	27	6	1281.63607704457
1376	2	27	7	9874
1377	2	27	8	6168
1378	2	27	9	6168
1379	2	27	10	8641.2
1380	2	27	11	8552.6
1381	2	27	12	7866.1
1382	2	27	13	849
1383	2	27	14	5481.5
1384	2	27	15	9187.5
1385	2	27	16	4820.33333333333
1386	2	27	17	729
1387	2	27	18	797.717335190225
1388	2	27	19	1131.53333333333
1389	2	27	20	866.2
1390	2	27	21	866.2
1391	2	27	22	866.2
1392	2	27	23	566.2
1393	2	28	0	566.2
1394	2	28	1	566.2
1395	2	28	2	566.2
1396	2	28	3	566.2
1397	2	28	4	566.2
1398	2	28	5	566.2
1399	2	28	6	1262.61799007976
1400	2	28	7	9874
1401	2	28	8	6168
1402	2	28	9	6168
1403	2	28	10	9141.2
1404	2	28	11	9052.6
1405	2	28	12	7866.1
1406	2	28	13	849
1407	2	28	14	5481.5
1408	2	28	15	9187.5
1409	2	28	16	4820.33333333333
1410	2	28	17	729
1411	2	28	18	793.687509854874
1412	2	28	19	1131.53333333333
1413	2	28	20	866.2
1414	2	28	21	866.2
1415	2	28	22	866.2
1416	2	28	23	566.2
1417	3	1	0	566.2
1418	3	1	1	566.2
1419	3	1	2	566.2
1420	3	1	3	566.2
1421	3	1	4	566.2
1422	3	1	5	566.2
1423	3	1	6	1243.40879553357
1424	3	1	7	9874
1425	3	1	8	6168
1426	3	1	9	6168
1427	3	1	10	8641.2
1428	3	1	11	8552.6
1429	3	1	12	7866.1
1430	3	1	13	849
1431	3	1	14	5481.5
1432	3	1	15	9187.5
1433	3	1	16	4820.33333333333
1434	3	1	17	729
1435	3	1	18	789.656722798719
1436	3	1	19	1131.53333333333
1437	3	1	20	866.2
1438	3	1	21	866.2
1439	3	1	22	866.2
1440	3	1	23	566.2
1441	3	2	0	566.2
1442	3	2	1	566.2
1443	3	2	2	566.2
1444	3	2	3	566.2
1445	3	2	4	566.2
1446	3	2	5	566.2
1447	3	2	6	1224.01375197222
1448	3	2	7	9874
1449	3	2	8	6168
1450	3	2	9	6168
1451	3	2	10	9141.2
1452	3	2	11	9052.6
1453	3	2	12	7866.1
1454	3	2	13	849
1455	3	2	14	5481.5
1456	3	2	15	9187.5
1457	3	2	16	4820.33333333333
1458	3	2	17	729
1459	3	2	18	785.62507402347
1460	3	2	19	1131.53333333333
1461	3	2	20	866.2
1462	3	2	21	866.2
1463	3	2	22	866.2
1464	3	2	23	566.2
1465	3	3	0	429
1466	3	3	1	429
1467	3	3	2	429
1468	3	3	3	429
1469	3	3	4	429
1470	3	3	5	429
1471	3	3	6	609
1472	3	3	7	609
1473	3	3	8	609
1474	3	3	9	609
1475	3	3	10	609
1476	3	3	11	609
1477	3	3	12	849
1478	3	3	13	849
1479	3	3	14	849
1480	3	3	15	849
1481	3	3	16	849
1482	3	3	17	729
1483	3	3	18	729
1484	3	3	19	729
1485	3	3	20	729
1486	3	3	21	729
1487	3	3	22	729
1488	3	3	23	429
1489	3	4	0	429
1490	3	4	1	429
1491	3	4	2	429
1492	3	4	3	429
1493	3	4	4	429
1494	3	4	5	429
1495	3	4	6	609
1496	3	4	7	609
1497	3	4	8	609
1498	3	4	9	609
1499	3	4	10	609
1500	3	4	11	609
1501	3	4	12	849
1502	3	4	13	849
1503	3	4	14	849
1504	3	4	15	849
1505	3	4	16	849
1506	3	4	17	729
1507	3	4	18	729
1508	3	4	19	729
1509	3	4	20	729
1510	3	4	21	729
1511	3	4	22	729
1512	3	4	23	429
1513	3	5	0	566.2
1514	3	5	1	566.2
1515	3	5	2	566.2
1516	3	5	3	566.2
1517	3	5	4	566.2
1518	3	5	5	566.2
1519	3	5	6	1164.76630568151
1520	3	5	7	9874
1521	3	5	8	6168
1522	3	5	9	6168
1523	3	5	10	9141.2
1524	3	5	11	9052.6
1525	3	5	12	7866.1
1526	3	5	13	849
1527	3	5	14	5481.5
1528	3	5	15	9187.5
1529	3	5	16	4820.33333333333
1530	3	5	17	729
1531	3	5	18	773.525313277507
1532	3	5	19	1131.53333333333
1533	3	5	20	866.2
1534	3	5	21	866.2
1535	3	5	22	866.2
1536	3	5	23	566.2
1537	3	6	0	566.2
1538	3	6	1	566.2
1539	3	6	2	566.2
1540	3	6	3	566.2
1541	3	6	4	566.2
1542	3	6	5	566.2
1543	3	6	6	1144.6807092703
1544	3	6	7	9874
1545	3	6	8	6168
1546	3	6	9	6168
1547	3	6	10	8641.2
1548	3	6	11	8552.6
1549	3	6	12	7866.1
1550	3	6	13	849
1551	3	6	14	5481.5
1552	3	6	15	9187.5
1553	3	6	16	4820.33333333333
1554	3	6	17	729
1555	3	6	18	769.490370236751
1556	3	6	19	1131.53333333333
1557	3	6	20	866.2
1558	3	6	21	866.2
1559	3	6	22	866.2
1560	3	6	23	566.2
1561	3	7	0	566.2
1562	3	7	1	566.2
1563	3	7	2	566.2
1564	3	7	3	566.2
1565	3	7	4	566.2
1566	3	7	5	566.2
1567	3	7	6	1124.43575049183
1568	3	7	7	9874
1569	3	7	8	6168
1570	3	7	9	6168
1571	3	7	10	9141.2
1572	3	7	11	9052.6
1573	3	7	12	7866.1
1574	3	7	13	849
1575	3	7	14	5481.5
1576	3	7	15	9187.5
1577	3	7	16	4820.33333333333
1578	3	7	17	729
1579	3	7	18	765.454444465371
1580	3	7	19	1131.53333333333
1581	3	7	20	866.2
1582	3	7	21	866.2
1583	3	7	22	866.2
1584	3	7	23	566.2
1585	3	8	0	566.2
1586	3	8	1	566.2
1587	3	8	2	566.2
1588	3	8	3	566.2
1589	3	8	4	566.2
1590	3	8	5	566.2
1591	3	8	6	1104.03676606297
1592	3	8	7	9874
1593	3	8	8	6168
1594	3	8	9	6168
1595	3	8	10	8641.2
1596	3	8	11	8552.6
1597	3	8	12	7866.1
1598	3	8	13	849
1599	3	8	14	5481.5
1600	3	8	15	9187.5
1601	3	8	16	4820.33333333333
1602	3	8	17	729
1603	3	8	18	761.417399480752
1604	3	8	19	1131.53333333333
1605	3	8	20	866.2
1606	3	8	21	866.2
1607	3	8	22	866.2
1608	3	8	23	566.2
1609	3	9	0	566.2
1610	3	9	1	566.2
1611	3	9	2	566.2
1612	3	9	3	566.2
1613	3	9	4	566.2
1614	3	9	5	566.2
1615	3	9	6	1083.48910611303
1616	3	9	7	9874
1617	3	9	8	6168
1618	3	9	9	6168
1619	3	9	10	9141.2
1620	3	9	11	9052.6
1621	3	9	12	7866.1
1622	3	9	13	849
1623	3	9	14	5481.5
1624	3	9	15	9187.5
1625	3	9	16	4820.33333333333
1626	3	9	17	729
1627	3	9	18	757.379065584234
1628	3	9	19	1131.53333333333
1629	3	9	20	866.2
1630	3	9	21	866.2
1631	3	9	22	866.2
1632	3	9	23	566.2
1633	3	10	0	429
1634	3	10	1	429
1635	3	10	2	429
1636	3	10	3	429
1637	3	10	4	429
1638	3	10	5	429
1639	3	10	6	609
1640	3	10	7	609
1641	3	10	8	609
1642	3	10	9	609
1643	3	10	10	609
1644	3	10	11	609
1645	3	10	12	849
1646	3	10	13	849
1647	3	10	14	849
1648	3	10	15	849
1649	3	10	16	849
1650	3	10	17	729
1651	3	10	18	729
1652	3	10	19	729
1653	3	10	20	729
1654	3	10	21	729
1655	3	10	22	729
1656	3	10	23	429
1657	3	11	0	429
1658	3	11	1	429
1659	3	11	2	429
1660	3	11	3	429
1661	3	11	4	429
1662	3	11	5	429
1663	3	11	6	609
1664	3	11	7	609
1665	3	11	8	609
1666	3	11	9	609
1667	3	11	10	609
1668	3	11	11	609
1669	3	11	12	849
1670	3	11	13	849
1671	3	11	14	849
1672	3	11	15	849
1673	3	11	16	849
1674	3	11	17	729
1675	3	11	18	729
1676	3	11	19	729
1677	3	11	20	729
1678	3	11	21	729
1679	3	11	22	729
1680	3	11	23	429
1681	3	12	0	566.2
1682	3	12	1	566.2
1683	3	12	2	566.2
1684	3	12	3	566.2
1685	3	12	4	566.2
1686	3	12	5	566.2
1687	3	12	6	1021.00777885519
1688	3	12	7	9874
1689	3	12	8	6168
1690	3	12	9	6168
1691	3	12	10	9141.2
1692	3	12	11	9052.6
1693	3	12	12	7866.1
1694	3	12	13	849
1695	3	12	14	5481.5
1696	3	12	15	9187.5
1697	3	12	16	4820.33333333333
1698	3	12	17	729
1699	3	12	18	745.254175330216
1700	3	12	19	1131.53333333333
1701	3	12	20	866.2
1702	3	12	21	866.2
1703	3	12	22	866.2
1704	3	12	23	566.2
1705	3	13	0	566.2
1706	3	13	1	566.2
1707	3	13	2	566.2
1708	3	13	3	566.2
1709	3	13	4	566.2
1710	3	13	5	566.2
1711	3	13	6	999.919191894708
1712	3	13	7	9874
1713	3	13	8	6168
1714	3	13	9	6168
1715	3	13	10	8641.2
1716	3	13	11	8552.6
1717	3	13	12	7866.1
1718	3	13	13	849
1719	3	13	14	5481.5
1720	3	13	15	9187.5
1721	3	13	16	4820.33333333333
1722	3	13	17	729
1723	3	13	18	741.208391752697
1724	3	13	19	1131.53333333333
1725	3	13	20	866.2
1726	3	13	21	866.2
1727	3	13	22	866.2
1728	3	13	23	566.2
1729	3	14	0	566.2
1730	3	14	1	566.2
1731	3	14	2	566.2
1732	3	14	3	566.2
1733	3	14	4	566.2
1734	3	14	5	566.2
1735	3	14	6	978.708886987163
1736	3	14	7	9874
1737	3	14	8	6168
1738	3	14	9	6168
1739	3	14	10	9141.2
1740	3	14	11	9052.6
1741	3	14	12	7866.1
1742	3	14	13	849
1743	3	14	14	5481.5
1744	3	14	15	9187.5
1745	3	14	16	4820.33333333333
1746	3	14	17	729
1747	3	14	18	737.160040367172
1748	3	14	19	1131.53333333333
1749	3	14	20	866.2
1750	3	14	21	866.2
1751	3	14	22	866.2
1752	3	14	23	566.2
1753	3	15	0	566.2
1754	3	15	1	566.2
1755	3	15	2	566.2
1756	3	15	3	566.2
1757	3	15	4	566.2
1758	3	15	5	566.2
1759	3	15	6	957.382298403567
1760	3	15	7	9874
1761	3	15	8	6168
1762	3	15	9	6168
1763	3	15	10	8641.2
1764	3	15	11	8552.6
1765	3	15	12	7866.1
1766	3	15	13	849
1767	3	15	14	5481.5
1768	3	15	15	9187.5
1769	3	15	16	4820.33333333333
1770	3	15	17	729
1771	3	15	18	733.108793429028
1772	3	15	19	1131.53333333333
1773	3	15	20	866.2
1774	3	15	21	866.2
1775	3	15	22	866.2
1776	3	15	23	566.2
1777	3	16	0	566.2
1778	3	16	1	566.2
1779	3	16	2	566.2
1780	3	16	3	566.2
1781	3	16	4	566.2
1782	3	16	5	566.2
1783	3	16	6	935.94487521469
1784	3	16	7	9874
1785	3	16	8	6168
1786	3	16	9	6168
1787	3	16	10	9141.2
1788	3	16	11	9052.6
1789	3	16	12	7866.1
1790	3	16	13	849
1791	3	16	14	5481.5
1792	3	16	15	9187.5
1793	3	16	16	4820.33333333333
1794	3	16	17	729
1795	3	16	18	729.054304077162
1796	3	16	19	1131.53333333333
1797	3	16	20	866.2
1798	3	16	21	866.2
1799	3	16	22	866.2
1800	3	16	23	566.2
1801	3	17	0	429
1802	3	17	1	429
1803	3	17	2	429
1804	3	17	3	429
1805	3	17	4	429
1806	3	17	5	429
1807	3	17	6	609
1808	3	17	7	609
1809	3	17	8	609
1810	3	17	9	609
1811	3	17	10	609
1812	3	17	11	609
1813	3	17	12	849
1814	3	17	13	849
1815	3	17	14	849
1816	3	17	15	849
1817	3	17	16	849
1818	3	17	17	729
1819	3	17	18	729
1820	3	17	19	729
1821	3	17	20	729
1822	3	17	21	729
1823	3	17	22	729
1824	3	17	23	429
1825	3	18	0	429
1826	3	18	1	429
1827	3	18	2	429
1828	3	18	3	429
1829	3	18	4	429
1830	3	18	5	429
1831	3	18	6	609
1832	3	18	7	609
1833	3	18	8	609
1834	3	18	9	609
1835	3	18	10	609
1836	3	18	11	609
1837	3	18	12	849
1838	3	18	13	849
1839	3	18	14	849
1840	3	18	15	849
1841	3	18	16	849
1842	3	18	17	729
1843	3	18	18	729
1844	3	18	19	729
1845	3	18	20	729
1846	3	18	21	729
1847	3	18	22	729
1848	3	18	23	429
1849	3	19	0	566.2
1850	3	19	1	566.2
1851	3	19	2	566.2
1852	3	19	3	566.2
1853	3	19	4	566.2
1854	3	19	5	565.372245891835
1855	3	19	6	874.333333333333
1856	3	19	7	9874
1857	3	19	8	6168
1858	3	19	9	6168
1859	3	19	10	9141.2
1860	3	19	11	9052.6
1861	3	19	12	7866.1
1862	3	19	13	849
1863	3	19	14	5481.5
1864	3	19	15	9187.5
1865	3	19	16	4820.33333333333
1866	3	19	17	729
1867	3	19	18	729
1868	3	19	19	1119.40100494266
1869	3	19	20	866.2
1870	3	19	21	866.2
1871	3	19	22	866.2
1872	3	19	23	566.2
1873	3	20	0	566.2
1874	3	20	1	566.2
1875	3	20	2	566.2
1876	3	20	3	566.2
1877	3	20	4	566.2
1878	3	20	5	559.915754818269
1879	3	20	6	874.333333333333
1880	3	20	7	9874
1881	3	20	8	6168
1882	3	20	9	6168
1883	3	20	10	8641.2
1884	3	20	11	8552.6
1885	3	20	12	7866.1
1886	3	20	13	849
1887	3	20	14	5481.5
1888	3	20	15	9187.5
1889	3	20	16	4820.33333333333
1890	3	20	17	729
1891	3	20	18	729
1892	3	20	19	1115.32977098043
1893	3	20	20	866.2
1894	3	20	21	866.2
1895	3	20	22	866.2
1896	3	20	23	566.2
1897	3	21	0	566.2
1898	3	21	1	566.2
1899	3	21	2	566.2
1900	3	21	3	566.2
1901	3	21	4	566.2
1902	3	21	5	554.438424708203
1903	3	21	6	874.333333333333
1904	3	21	7	9874
1905	3	21	8	6168
1906	3	21	9	6168
1907	3	21	10	9141.2
1908	3	21	11	9052.6
1909	3	21	12	7866.1
1910	3	21	13	849
1911	3	21	14	5481.5
1912	3	21	15	9187.5
1913	3	21	16	4820.33333333333
1914	3	21	17	729
1915	3	21	18	729
1916	3	21	19	1111.2533499355
1917	3	21	20	866.2
1918	3	21	21	866.2
1919	3	21	22	866.2
1920	3	21	23	566.2
1921	3	22	0	566.2
1922	3	22	1	566.2
1923	3	22	2	566.2
1924	3	22	3	566.2
1925	3	22	4	566.2
1926	3	22	5	548.941641829386
1927	3	22	6	874.333333333333
1928	3	22	7	9874
1929	3	22	8	6168
1930	3	22	9	6168
1931	3	22	10	8641.2
1932	3	22	11	8552.6
1933	3	22	12	7866.1
1934	3	22	13	849
1935	3	22	14	5481.5
1936	3	22	15	9187.5
1937	3	22	16	4820.33333333333
1938	3	22	17	729
1939	3	22	18	729
1940	3	22	19	1107.17132646538
1941	3	22	20	866.2
1942	3	22	21	866.2
1943	3	22	22	866.2
1944	3	22	23	566.2
1945	3	23	0	566.2
1946	3	23	1	566.2
1947	3	23	2	566.2
1948	3	23	3	566.2
1949	3	23	4	566.2
1950	3	23	5	543.426796849528
1951	3	23	6	874.333333333333
1952	3	23	7	9874
1953	3	23	8	6168
1954	3	23	9	6168
1955	3	23	10	9141.2
1956	3	23	11	9052.6
1957	3	23	12	7866.1
1958	3	23	13	849
1959	3	23	14	5481.5
1960	3	23	15	9187.5
1961	3	23	16	4820.33333333333
1962	3	23	17	729
1963	3	23	18	729
1964	3	23	19	1103.08328176418
1965	3	23	20	866.2
1966	3	23	21	866.2
1967	3	23	22	866.2
1968	3	23	23	566.2
1969	3	24	0	429
1970	3	24	1	429
1971	3	24	2	429
1972	3	24	3	429
1973	3	24	4	429
1974	3	24	5	429
1975	3	24	6	609
1976	3	24	7	609
1977	3	24	8	609
1978	3	24	9	609
1979	3	24	10	609
1980	3	24	11	609
1981	3	24	12	849
1982	3	24	13	849
1983	3	24	14	849
1984	3	24	15	849
1985	3	24	16	849
1986	3	24	17	729
1987	3	24	18	729
1988	3	24	19	729
1989	3	24	20	729
1990	3	24	21	729
1991	3	24	22	729
1992	3	24	23	429
1993	3	25	0	429
1994	3	25	1	429
1995	3	25	2	429
1996	3	25	3	429
1997	3	25	4	429
1998	3	25	5	429
1999	3	25	6	609
2000	3	25	7	609
2001	3	25	8	609
2002	3	25	9	609
2003	3	25	10	609
2004	3	25	11	609
2005	3	25	12	849
2006	3	25	13	849
2007	3	25	14	849
2008	3	25	15	849
2009	3	25	16	849
2010	3	25	17	729
2011	3	25	18	729
2012	3	25	19	729
2013	3	25	20	729
2014	3	25	21	729
2015	3	25	22	729
2016	3	25	23	429
2017	3	26	0	566.2
2018	3	26	1	566.2
2019	3	26	2	566.2
2020	3	26	3	566.2
2021	3	26	4	566.2
2022	3	26	5	526.78786526753
2023	3	26	6	874.333333333333
2024	3	26	7	9874
2025	3	26	8	6168
2026	3	26	9	6168
2027	3	26	10	9141.2
2028	3	26	11	9052.6
2029	3	26	12	7866.1
2030	3	26	13	849
2031	3	26	14	5481.5
2032	3	26	15	9187.5
2033	3	26	16	4820.33333333333
2034	3	26	17	729
2035	3	26	18	729
2036	3	26	19	1090.77882944031
2037	3	26	20	866.2
2038	3	26	21	866.2
2039	3	26	22	866.2
2040	3	26	23	566.2
2041	3	27	0	566.2
2042	3	27	1	566.2
2043	3	27	2	566.2
2044	3	27	3	566.2
2045	3	27	4	566.2
2046	3	27	5	521.214772205857
2047	3	27	6	874.333333333333
2048	3	27	7	9874
2049	3	27	8	6168
2050	3	27	9	6168
2051	3	27	10	8641.2
2052	3	27	11	8552.6
2053	3	27	12	7866.1
2054	3	27	13	849
2055	3	27	14	5481.5
2056	3	27	15	9187.5
2057	3	27	16	4820.33333333333
2058	3	27	17	729
2059	3	27	18	729
2060	3	27	19	1086.66252464037
2061	3	27	20	866.2
2062	3	27	21	866.2
2063	3	27	22	866.2
2064	3	27	23	566.2
2065	3	28	0	566.2
2066	3	28	1	566.2
2067	3	28	2	566.2
2068	3	28	3	566.2
2069	3	28	4	566.2
2070	3	28	5	515.630642287607
2071	3	28	6	874.333333333333
2072	3	28	7	9874
2073	3	28	8	6168
2074	3	28	9	6168
2075	3	28	10	9141.2
2076	3	28	11	9052.6
2077	3	28	12	7866.1
2078	3	28	13	849
2079	3	28	14	5481.5
2080	3	28	15	9187.5
2081	3	28	16	4820.33333333333
2082	3	28	17	729
2083	3	28	18	729
2084	3	28	19	1082.53813506397
2085	3	28	20	866.2
2086	3	28	21	866.2
2087	3	28	22	866.2
2088	3	28	23	566.2
2089	3	29	0	566.2
2090	3	29	1	566.2
2091	3	29	2	566.2
2092	3	29	3	566.2
2093	3	29	4	566.2
2094	3	29	5	510.036896398351
2095	3	29	6	874.333333333333
2096	3	29	7	9874
2097	3	29	8	6168
2098	3	29	9	6168
2099	3	29	10	8641.2
2100	3	29	11	8552.6
2101	3	29	12	7866.1
2102	3	29	13	849
2103	3	29	14	5481.5
2104	3	29	15	9187.5
2105	3	29	16	4820.33333333333
2106	3	29	17	729
2107	3	29	18	729
2108	3	29	19	1078.40527086031
2109	3	29	20	866.2
2110	3	29	21	866.2
2111	3	29	22	866.2
2112	3	29	23	566.2
2113	3	30	0	566.2
2114	3	30	1	566.2
2115	3	30	2	566.2
2116	3	30	3	566.2
2117	3	30	4	566.2
2118	3	30	5	504.434961293005
2119	3	30	6	874.333333333333
2120	3	30	7	9874
2121	3	30	8	6168
2122	3	30	9	6168
2123	3	30	10	9141.2
2124	3	30	11	9052.6
2125	3	30	12	7866.1
2126	3	30	13	849
2127	3	30	14	5481.5
2128	3	30	15	9187.5
2129	3	30	16	4820.33333333333
2130	3	30	17	729
2131	3	30	18	729
2132	3	30	19	1074.2635554687
2133	3	30	20	866.2
2134	3	30	21	866.2
2135	3	30	22	866.2
2136	3	30	23	566.2
2137	3	31	0	429
2138	3	31	1	429
2139	3	31	2	429
2140	3	31	3	429
2141	3	31	4	429
2142	3	31	5	429
2143	3	31	6	609
2144	3	31	7	609
2145	3	31	8	609
2146	3	31	9	609
2147	3	31	10	609
2148	3	31	11	609
2149	3	31	12	849
2150	3	31	13	849
2151	3	31	14	849
2152	3	31	15	849
2153	3	31	16	849
2154	3	31	17	729
2155	3	31	18	729
2156	3	31	19	729
2157	3	31	20	729
2158	3	31	21	729
2159	3	31	22	729
2160	3	31	23	429
2161	4	1	0	429
2162	4	1	1	429
2163	4	1	2	429
2164	4	1	3	429
2165	4	1	4	429
2166	4	1	5	429
2167	4	1	6	609
2168	4	1	7	609
2169	4	1	8	609
2170	4	1	9	609
2171	4	1	10	609
2172	4	1	11	609
2173	4	1	12	849
2174	4	1	13	849
2175	4	1	14	849
2176	4	1	15	849
2177	4	1	16	849
2178	4	1	17	729
2179	4	1	18	729
2180	4	1	19	729
2181	4	1	20	729
2182	4	1	21	729
2183	4	1	22	729
2184	4	1	23	429
2185	4	2	0	566.2
2186	4	2	1	566.2
2187	4	2	2	566.2
2188	4	2	3	566.2
2189	4	2	4	566.2
2190	4	2	5	487.594382861869
2191	4	2	6	874.333333333333
2192	4	2	7	9874
2193	4	2	8	6168
2194	4	2	9	6168
2195	4	2	10	9141.2
2196	4	2	11	9052.6
2197	4	2	12	7866.1
2198	4	2	13	849
2199	4	2	14	5481.5
2200	4	2	15	9187.5
2201	4	2	16	4820.33333333333
2202	4	2	17	729
2203	4	2	18	729
2204	4	2	19	1061.78178773328
2205	4	2	20	866.2
2206	4	2	21	866.2
2207	4	2	22	866.2
2208	4	2	23	566.2
2209	4	3	0	566.2
2210	4	3	1	566.2
2211	4	3	2	566.2
2212	4	3	3	566.2
2213	4	3	4	566.2
2214	4	3	5	481.97408709163
2215	4	3	6	874.333333333333
2216	4	3	7	9874
2217	4	3	8	6168
2218	4	3	9	6168
2219	4	3	10	8641.2
2220	4	3	11	8552.6
2221	4	3	12	7866.1
2222	4	3	13	849
2223	4	3	14	5481.5
2224	4	3	15	9187.5
2225	4	3	16	4820.33333333333
2226	4	3	17	729
2227	4	3	18	729
2228	4	3	19	1057.60125428832
2229	4	3	20	866.2
2230	4	3	21	866.2
2231	4	3	22	866.2
2232	4	3	23	566.2
2233	4	4	0	566.2
2234	4	4	1	566.2
2235	4	4	2	566.2
2236	4	4	3	566.2
