N	M	D	H	PowerDemand
228	1	10	11	9052.6
229	1	10	12	7866.1
230	1	10	13	849
231	1	10	14	5481.5
232	1	10	15	9187.5
233	1	10	16	4820.33333333333
234	1	10	17	837.722098655513
235	1	10	18	866.2
236	1	10	19	1131.53333333333
237	1	10	20	866.2
238	1	10	21	866.2
239	1	10	22	866.2
240	1	10	23	566.2
241	1	11	0	566.2
242	1	11	1	566.2
243	1	11	2	566.2
244	1	11	3	566.2
245	1	11	4	566.2
246	1	11	5	566.2
247	1	11	6	1423.13333333333
248	1	11	7	10318.3287076112
249	1	11	8	6168
250	1	11	9	6168
251	1	11	10	8641.2
252	1	11	11	8552.6
253	1	11	12	7866.1
254	1	11	13	849
255	1	11	14	5481.5
256	1	11	15	9187.5
257	1	11	16	4820.33333333333
258	1	11	17	834.883240781768
259	1	11	18	866.2
260	1	11	19	1131.53333333333
261	1	11	20	866.2
262	1	11	21	866.2
263	1	11	22	866.2
264	1	11	23	566.2
265	1	12	0	566.2
266	1	12	1	566.2
267	1	12	2	566.2
268	1	12	3	566.2
269	1	12	4	566.2
270	1	12	5	566.2
271	1	12	6	1423.13333333333
272	1	12	7	10313.7887318692
273	1	12	8	6168
274	1	12	9	6168
275	1	12	10	9141.2
276	1	12	11	9052.6
277	1	12	12	7866.1
278	1	12	13	849
279	1	12	14	5481.5
280	1	12	15	9187.5
281	1	12	16	4820.33333333333
282	1	12	17	831.979151781533
283	1	12	18	866.2
284	1	12	19	1131.53333333333
285	1	12	20	866.2
286	1	12	21	866.2
287	1	12	22	866.2
288	1	12	23	566.2
289	1	13	0	429
290	1	13	1	429
291	1	13	2	429
292	1	13	3	429
293	1	13	4	429
294	1	13	5	429
295	1	13	6	609
296	1	13	7	609
297	1	13	8	609
298	1	13	9	609
299	1	13	10	609
300	1	13	11	609
301	1	13	12	849
302	1	13	13	849
303	1	13	14	849
304	1	13	15	849
305	1	13	16	849
306	1	13	17	729
307	1	13	18	729
308	1	13	19	729
309	1	13	20	729
310	1	13	21	729
311	1	13	22	729
312	1	13	23	429
313	1	14	0	429
314	1	14	1	429
315	1	14	2	429
316	1	14	3	429
317	1	14	4	429
318	1	14	5	429
