N	M	D	H	Qh
1585	3	8	0	28492.9251935239
1586	3	8	1	29975.1001770574
1587	3	8	2	31319.8990243677
1588	3	8	3	32520.5139615662
1589	3	8	4	33609.8492975054
1590	3	8	5	34617.7595885592
1591	3	8	6	35508.4354040855
1592	3	8	7	35573.1322599752
1593	3	8	8	34794.1663454833
1594	3	8	9	30473.3455823964
1595	3	8	10	25281.0095262475
1596	3	8	11	19813.3274373617
1597	3	8	12	14750.3659270001
1598	3	8	13	10658.9704568023
1599	3	8	14	8127.65680437906
1600	3	8	15	9531.80192812511
1601	3	8	16	11578.2442052307
1602	3	8	17	14250.3340454937
1603	3	8	18	16896.2663730099
1604	3	8	19	19316.4996780524
1605	3	8	20	21531.9529884027
1606	3	8	21	23581.1469915859
1607	3	8	22	25459.9509649893
1608	3	8	23	27184.1575944961
1609	3	9	0	28748.5552625469
1610	3	9	1	30187.496493761
1611	3	9	2	31532.1498316735
1612	3	9	3	32791.2543972502
1613	3	9	4	33972.7393216265
1614	3	9	5	35064.2582700232
1615	3	9	6	35997.9776571322
1616	3	9	7	36101.7285694459
1617	3	9	8	35476.2445770007
1618	3	9	9	34270.83289954
1619	3	9	10	32633.3484883037
1620	3	9	11	30735.1941718366
1621	3	9	12	28946.3828042301
1622	3	9	13	27565.6342336276
1623	3	9	14	26866.4622460676
1624	3	9	15	24682.513160144
1625	3	9	16	24319.6506404729
1626	3	9	17	25799.2165433166
1627	3	9	18	27824.1675281208
1628	3	9	19	29720.0565603134
1629	3	9	20	31440.2241609343
1630	3	9	21	33000.9571595212
1631	3	9	22	34417.0328326243
1632	3	9	23	35721.3993678272
1633	3	10	0	36924.4105829466
1634	3	10	1	38035.4606469723
1635	3	10	2	39063.073025585
1636	3	10	3	39995.4406323729
1637	3	10	4	40860.9318274557
1638	3	10	5	41587.5828832441
1639	3	10	6	42112.0901409211
1640	3	10	7	41733.5789797789
1641	3	10	8	40594.2997556565
1642	3	10	9	38844.5520152516
1643	3	10	10	36634.6996788934
1644	3	10	11	34237.8942291305
1645	3	10	12	31995.8451519199
1646	3	10	13	30223.0862646184
1647	3	10	14	29167.4333261597
1648	3	10	15	26630.4453638327
1649	3	10	16	25945.9786610137
1650	3	10	17	27133.7484266951
1651	3	10	18	28937.3048985681
1652	3	10	19	30632.3194799745
1653	3	10	20	32189.7713300189
1654	3	10	21	33641.9510702569
1655	3	10	22	34979.0753489174
1656	3	10	23	36250.8892402957
1657	3	11	0	37443.9055202004
1658	3	11	1	38584.9681353875
1659	3	11	2	39659.3518871043
1660	3	11	3	40653.6963890687
1661	3	11	4	41594.9606699201
1662	3	11	5	42448.9833959626
1663	3	11	6	43095.3221419713
1664	3	11	7	42888.7067552921
1665	3	11	8	41825.2985177617
1666	3	11	9	37130.2652841166
1667	3	11	10	31559.641451571
1668	3	11	11	25729.1928293284
1669	3	11	12	20295.5939593778
1670	3	11	13	15848.3732898901
1671	3	11	14	12933.6622854339
1672	3	11	15	11705.650369214
1673	3	11	16	12204.8150661044
1674	3	11	17	14446.9702075924
1675	3	11	18	17270.0827171013
1676	3	11	19	19870.6147199459
1677	3	11	20	22288.7367530973
1678	3	11	21	24521.8150262474
1679	3	11	22	26606.5409640476
1680	3	11	23	28810.691832615
1681	3	12	0	31103.6581216001
1682	3	12	1	33496.7484793196
1683	3	12	2	35746.19625129
1684	3	12	3	37845.7744726518
1685	3	12	4	39828.9144287105
1686	3	12	5	41647.7866076775
1687	3	12	6	42915.2249906849
1688	3	12	7	42337.2907303303
1689	3	12	8	38686.5499464136
1690	3	12	9	32210.1656375992
1691	3	12	10	24669.7470972435
1692	3	12	11	17533.8209050722
1693	3	12	12	11031.8422409819
1694	3	12	13	5400.31904338321
1695	3	12	14	1505.49069417707
1696	3	12	15	0
1697	3	12	16	185.766018142886
1698	3	12	17	3050.07417258025
1699	3	12	18	6968.59484252172
1700	3	12	19	10582.5470981301
1701	3	12	20	13998.3222181172
1702	3	12	21	17234.2883502949
1703	3	12	22	20307.1111814268
1704	3	12	23	23231.9117306929
1705	3	13	0	26002.8689675892
1706	3	13	1	28653.7824875325
1707	3	13	2	31156.6975022231
1708	3	13	3	33505.7907774115
1709	3	13	4	35734.8599090244
1710	3	13	5	37776.8671938156
1711	3	13	6	38872.9085560215
1712	3	13	7	37026.4615864585
1713	3	13	8	32199.4492643171
1714	3	13	9	27469.4477356661
1715	3	13	10	23010.6106259313
1716	3	13	11	18049.1382807531
1717	3	13	12	13286.409157547
1718	3	13	13	9354.60341628982
1719	3	13	14	6768.82165492998
1720	3	13	15	5699.09006170519
1721	3	13	16	6210.22850985469
1722	3	13	17	8586.35822248743
1723	3	13	18	11757.2590070949
1724	3	13	19	14810.1282060054
1725	3	13	20	17658.2028843484
1726	3	13	21	20300.9239752134
1727	3	13	22	22776.8653298597
1728	3	13	23	25101.4850122942
1729	3	14	0	27288.8083480609
1730	3	14	1	29351.5607183281
1731	3	14	2	31262.2069451095
1732	3	14	3	33034.8450630595
1733	3	14	4	34682.2664233912
1734	3	14	5	36196.536254073
1735	3	14	6	37368.4892894289
1736	3	14	7	37685.6583961683
1737	3	14	8	37199.533438303
1738	3	14	9	36029.4485299335
1739	3	14	10	34365.0732339199
1740	3	14	11	32259.5858405691
1741	3	14	12	26044.6469917895
1742	3	14	13	20734.1957403173
1743	3	14	14	16956.6531595933
1744	3	14	15	14883.4601781573
1745	3	14	16	14541.317459566
1746	3	14	17	16121.4601875599
1747	3	14	18	18613.5067948499
1748	3	14	19	21030.9012080188
1749	3	14	20	23341.481502564
1750	3	14	21	25535.6072485824
1751	3	14	22	27643.6126450506
1752	3	14	23	29732.1014511908
1753	3	15	0	31783.3420216346
1754	3	15	1	33820.3272782948
1755	3	15	2	35648.9729782197
1756	3	15	3	37269.0486279794
1757	3	15	4	38719.426198287
1758	3	15	5	39976.7531404905
1759	3	15	6	40824.1407423077
1760	3	15	7	40771.3993728578
1761	3	15	8	39753.4394658294
1762	3	15	9	37885.5452213486
1763	3	15	10	35393.7579272497
1764	3	15	11	32693.8720374699
1765	3	15	12	26069.8916337731
1766	3	15	13	20543.8311451928
1767	3	15	14	16589.0776971821
1768	3	15	15	14393.375519677
1769	3	15	16	13957.0451957695
1770	3	15	17	15319.7638622714
1771	3	15	18	17651.6294933265
1772	3	15	19	19825.9866329181
1773	3	15	20	21837.8934846612
1774	3	15	21	23682.8662850712
1775	3	15	22	25395.9179513231
1776	3	15	23	26989.2756602928
1777	3	16	0	28454.4927564127
1778	3	16	1	29822.986567433
1779	3	16	2	31201.4246917897
1780	3	16	3	32569.344885394
1781	3	16	4	33947.2625583539
1782	3	16	5	35256.0888876894
1783	3	16	6	35600.1918372044
1784	3	16	7	33425.0658589497
1785	3	16	8	28709.5960902718
1786	3	16	9	22790.8161083235
1787	3	16	10	16160.8539746794
1788	3	16	11	9145.78063494105
1789	3	16	12	2743.6409554582
1790	3	16	13	0
1791	3	16	14	0
1792	3	16	15	0
1793	3	16	16	0
1794	3	16	17	0
1795	3	16	18	0
1796	3	16	19	0
1797	3	16	20	0
1798	3	16	21	4098.56538413464
1799	3	16	22	8193.47382253
1800	3	16	23	12045.6274588264
1801	3	17	0	15657.9855939526
1802	3	17	1	19072.3143453226
1803	3	17	2	22267.8870655102
1804	3	17	3	25264.9792676436
1805	3	17	4	28081.9872186953
1806	3	17	5	30676.9804671717
1807	3	17	6	31809.4658469079
1808	3	17	7	29791.3844827974
1809	3	17	8	24478.9208107818
1810	3	17	9	17840.3276909023
1811	3	17	10	10785.5295492072
1812	3	17	11	3674.40299384043
1813	3	17	12	0
1814	3	17	13	0
1815	3	17	14	0
1816	3	17	15	0
1817	3	17	16	0
1818	3	17	17	0
1819	3	17	18	0
1820	3	17	19	0
1821	3	17	20	0
1822	3	17	21	0
1823	3	17	22	0
1824	3	17	23	2790.81269979997
1825	3	18	0	5795.41673149038
1826	3	18	1	8580.15917360717
1827	3	18	2	11145.8774581251
1828	3	18	3	13512.8719496095
1829	3	18	4	15699.5614630887
1830	3	18	5	17664.0360052602
1831	3	18	6	19096.3972981308
1832	3	18	7	19613.4921387909
1833	3	18	8	19250.9453543664
1834	3	18	9	18114.8225125185
1835	3	18	10	16454.6513075379
1836	3	18	11	14516.372383855
1837	3	18	12	12652.8785859477
1838	3	18	13	11183.2203969584
1839	3	18	14	10442.4605246322
1840	3	18	15	10477.0069955237
1841	3	18	16	11293.9069251183
1842	3	18	17	12871.2343358245
1843	3	18	18	14941.5294017956
1844	3	18	19	16898.1003265003
1845	3	18	20	18712.4065885826
1846	3	18	21	20397.6340600718
1847	3	18	22	21965.7464738077
1848	3	18	23	23368.9770468516
1849	3	19	0	24622.6079357996
1850	3	19	1	25740.5048628584
1851	3	19	2	26813.4106003288
1852	3	19	3	27825.9546289405
1853	3	19	4	28803.2721545164
1854	3	19	5	29768.1687136503
1855	3	19	6	30319.404289213
1856	3	19	7	30134.7437462084
1857	3	19	8	29332.8199735583
1858	3	19	9	28064.2203696743
1859	3	19	10	26446.4408069159
1860	3	19	11	24567.2910165979
1861	3	19	12	18663.669707837
1862	3	19	13	13824.0852562944
1863	3	19	14	9349.73380053634
1864	3	19	15	6916.95995416808
1865	3	19	16	6130.39901007824
1866	3	19	17	7741.66591149879
1867	3	19	18	11108.1007314908
1868	3	19	19	14201.5969423426
1869	3	19	20	17008.370895968
1870	3	19	21	19535.4570390691
1871	3	19	22	21828.3189278793
1872	3	19	23	23869.5846548069
1873	3	20	0	25682.5735370796
1874	3	20	1	27288.4435292156
1875	3	20	2	28686.8509996737
1876	3	20	3	29916.5652673423
1877	3	20	4	30973.6811964569
1878	3	20	5	31893.7367015053
1879	3	20	6	31563.1583644915
1880	3	20	7	29030.9511062901
1881	3	20	8	23544.0720740314
1882	3	20	9	16841.588926269
1883	3	20	10	9132.76382119648
1884	3	20	11	1964.39104147998
1885	3	20	12	0
1886	3	20	13	0
1887	3	20	14	0
1888	3	20	15	0
1889	3	20	16	0
1890	3	20	17	0
1891	3	20	18	0
1892	3	20	19	0
1893	3	20	20	0
1894	3	20	21	0
1895	3	20	22	2688.75877578694
1896	3	20	23	5917.76778119879
1897	3	21	0	8827.95390725732
1898	3	21	1	11468.4079637982
1899	3	21	2	13864.1302037854
1900	3	21	3	16037.8037191208
1901	3	21	4	18010.0092078987
1902	3	21	5	19779.8792854201
1903	3	21	6	20920.4198986811
1904	3	21	7	21172.7416066651
1905	3	21	8	20591.4332110751
1906	3	21	9	16066.0495298202
1907	3	21	10	10713.7638656127
1908	3	21	11	5206.38128960513
1909	3	21	12	0
1910	3	21	13	0
1911	3	21	14	0
1912	3	21	15	0
1913	3	21	16	0
1914	3	21	17	0
1915	3	21	18	0
1916	3	21	19	705.741432238938
1917	3	21	20	3962.2229976203
1918	3	21	21	6916.87592595827
1919	3	21	22	9617.2159071557
1920	3	21	23	12047.7329642654
1921	3	22	0	14252.9763215464
1922	3	22	1	16234.2850351479
1923	3	22	2	18051.4957012861
1924	3	22	3	19719.8178302926
1925	3	22	4	21253.0512313606
1926	3	22	5	22644.1761210083
1927	3	22	6	22875.7996433444
1928	3	22	7	21338.5149949488
1929	3	22	8	18095.4471859081
1930	3	22	9	16855.0749113706
1931	3	22	10	15010.8095983512
1932	3	22	11	12846.877770761
1933	3	22	12	6507.13403298937
1934	3	22	13	1217.65556306741
1935	3	22	14	0
1936	3	22	15	0
1937	3	22	16	0
1938	3	22	17	0
1939	3	22	18	0
1940	3	22	19	0
1941	3	22	20	0
1942	3	22	21	2542.93866712487
1943	3	22	22	6234.89574183509
1944	3	22	23	9662.82411374095
1945	3	23	0	12851.1954163798
1946	3	23	1	15822.2131176046
1947	3	23	2	18556.9416448516
1948	3	23	3	21057.7410290455
1949	3	23	4	23365.8336612393
1950	3	23	5	25420.9184624244
1951	3	23	6	24522.3382372671
1952	3	23	7	19440.196572117
1953	3	23	8	10270.0709847568
1954	3	23	9	980.64675245837
1955	3	23	10	0
1956	3	23	11	0
1957	3	23	12	0
1958	3	23	13	0
1959	3	23	14	0
1960	3	23	15	0
1961	3	23	16	0
1962	3	23	17	0
1963	3	23	18	0
1964	3	23	19	0
1965	3	23	20	0
1966	3	23	21	0
1967	3	23	22	0
1968	3	23	23	0
1969	3	24	0	0
1970	3	24	1	0
1971	3	24	2	0
1972	3	24	3	0
1973	3	24	4	0
1974	3	24	5	0
1975	3	24	6	0
1976	3	24	7	0
1977	3	24	8	0
1978	3	24	9	0
1979	3	24	10	0
1980	3	24	11	0
1981	3	24	12	0
1982	3	24	13	0
1983	3	24	14	0
1984	3	24	15	0
1985	3	24	16	0
1986	3	24	17	0
1987	3	24	18	0
1988	3	24	19	0
1989	3	24	20	0
1990	3	24	21	0
1991	3	24	22	0
1992	3	24	23	0
1993	3	25	0	0
1994	3	25	1	0
1995	3	25	2	0
1996	3	25	3	0
1997	3	25	4	0
1998	3	25	5	0
1999	3	25	6	0
2000	3	25	7	0
2001	3	25	8	0
2002	3	25	9	0
2003	3	25	10	0
2004	3	25	11	0
2005	3	25	12	0
2006	3	25	13	0
2007	3	25	14	0
2008	3	25	15	0
2009	3	25	16	0
2010	3	25	17	0
2011	3	25	18	0
2012	3	25	19	0
2013	3	25	20	0
2014	3	25	21	0
2015	3	25	22	0
2016	3	25	23	0
2017	3	26	0	0
2018	3	26	1	0
2019	3	26	2	0
2020	3	26	3	0
2021	3	26	4	0
2022	3	26	5	0
2023	3	26	6	0
2024	3	26	7	0
2025	3	26	8	0
2026	3	26	9	0
2027	3	26	10	0
2028	3	26	11	0
2029	3	26	12	0
2030	3	26	13	0
2031	3	26	14	0
2032	3	26	15	0
2033	3	26	16	0
2034	3	26	17	0
2035	3	26	18	0
2036	3	26	19	0
2037	3	26	20	0
2038	3	26	21	0
2039	3	26	22	0
2040	3	26	23	0
2041	3	27	0	0
2042	3	27	1	0
2043	3	27	2	0
2044	3	27	3	0
2045	3	27	4	0
2046	3	27	5	0
2047	3	27	6	0
2048	3	27	7	0
2049	3	27	8	0
2050	3	27	9	0
2051	3	27	10	0
2052	3	27	11	0
2053	3	27	12	0
2054	3	27	13	0
2055	3	27	14	0
2056	3	27	15	0
2057	3	27	16	0
2058	3	27	17	0
2059	3	27	18	0
2060	3	27	19	0
2061	3	27	20	0
2062	3	27	21	0
2063	3	27	22	0
2064	3	27	23	0
2065	3	28	0	0
2066	3	28	1	0
2067	3	28	2	0
2068	3	28	3	0
2069	3	28	4	0
2070	3	28	5	0
2071	3	28	6	0
2072	3	28	7	0
2073	3	28	8	0
2074	3	28	9	0
2075	3	28	10	0
2076	3	28	11	0
2077	3	28	12	0
2078	3	28	13	0
2079	3	28	14	0
2080	3	28	15	0
2081	3	28	16	0
2082	3	28	17	0
2083	3	28	18	0
2084	3	28	19	0
2085	3	28	20	0
2086	3	28	21	0
2087	3	28	22	0
2088	3	28	23	0
2089	3	29	0	0
2090	3	29	1	0
2091	3	29	2	0
2092	3	29	3	0
2093	3	29	4	0
2094	3	29	5	0
2095	3	29	6	0
2096	3	29	7	0
2097	3	29	8	0
2098	3	29	9	0
2099	3	29	10	0
2100	3	29	11	0
2101	3	29	12	0
2102	3	29	13	0
2103	3	29	14	0
2104	3	29	15	0
2105	3	29	16	0
2106	3	29	17	0
2107	3	29	18	0
2108	3	29	19	0
2109	3	29	20	0
2110	3	29	21	0
2111	3	29	22	0
2112	3	29	23	0
2113	3	30	0	0
2114	3	30	1	0
2115	3	30	2	0
2116	3	30	3	0
2117	3	30	4	0
2118	3	30	5	0
2119	3	30	6	0
2120	3	30	7	0
2121	3	30	8	0
2122	3	30	9	0
2123	3	30	10	0
2124	3	30	11	0
2125	3	30	12	0
2126	3	30	13	0
2127	3	30	14	0
2128	3	30	15	0
2129	3	30	16	0
2130	3	30	17	0
2131	3	30	18	0
2132	3	30	19	0
2133	3	30	20	0
2134	3	30	21	0
2135	3	30	22	0
2136	3	30	23	0
2137	3	31	0	0
2138	3	31	1	0
2139	3	31	2	0
2140	3	31	3	0
2141	3	31	4	0
2142	3	31	5	0
2143	3	31	6	0
2144	3	31	7	0
2145	3	31	8	0
2146	3	31	9	0
2147	3	31	10	0
2148	3	31	11	0
2149	3	31	12	0
2150	3	31	13	0
2151	3	31	14	0
2152	3	31	15	0
2153	3	31	16	0
2154	3	31	17	0
2155	3	31	18	0
2156	3	31	19	0
2157	3	31	20	0
2158	3	31	21	0
2159	3	31	22	0
2160	3	31	23	0
2161	4	1	0	0
2162	4	1	1	0
2163	4	1	2	0
2164	4	1	3	0
2165	4	1	4	0
2166	4	1	5	0
2167	4	1	6	0
2168	4	1	7	0
2169	4	1	8	0
2170	4	1	9	0
2171	4	1	10	0
2172	4	1	11	0
2173	4	1	12	0
2174	4	1	13	0
2175	4	1	14	0
2176	4	1	15	0
2177	4	1	16	0
2178	4	1	17	0
2179	4	1	18	0
2180	4	1	19	0
2181	4	1	20	0
2182	4	1	21	0
2183	4	1	22	0
2184	4	1	23	0
2185	4	2	0	0
2186	4	2	1	0
2187	4	2	2	0
2188	4	2	3	0
2189	4	2	4	0
2190	4	2	5	0
2191	4	2	6	0
2192	4	2	7	0
2193	4	2	8	0
2194	4	2	9	0
2195	4	2	10	0
2196	4	2	11	0
2197	4	2	12	0
2198	4	2	13	0
2199	4	2	14	0
2200	4	2	15	0
2201	4	2	16	0
2202	4	2	17	0
2203	4	2	18	0
2204	4	2	19	0
2205	4	2	20	0
2206	4	2	21	0
2207	4	2	22	0
2208	4	2	23	0
2209	4	3	0	0
2210	4	3	1	0
2211	4	3	2	0
2212	4	3	3	0
2213	4	3	4	0
2214	4	3	5	0
2215	4	3	6	0
2216	4	3	7	0
2217	4	3	8	0
2218	4	3	9	0
2219	4	3	10	0
2220	4	3	11	0
2221	4	3	12	0
2222	4	3	13	0
2223	4	3	14	0
2224	4	3	15	0
2225	4	3	16	0
2226	4	3	17	0
2227	4	3	18	0
2228	4	3	19	0
2229	4	3	20	0
2230	4	3	21	0
2231	4	3	22	0
2232	4	3	23	0
2233	4	4	0	0
2234	4	4	1	0
2235	4	4	2	0
2236	4	4	3	0
2237	4	4	4	0
2238	4	4	5	0
2239	4	4	6	0
2240	4	4	7	0
2241	4	4	8	0
2242	4	4	9	0
2243	4	4	10	0
2244	4	4	11	0
2245	4	4	12	0
2246	4	4	13	0
2247	4	4	14	0
2248	4	4	15	0
2249	4	4	16	0
2250	4	4	17	0
2251	4	4	18	0
2252	4	4	19	0
2253	4	4	20	0
2254	4	4	21	0
2255	4	4	22	0
2256	4	4	23	0
2257	4	5	0	0
2258	4	5	1	0
2259	4	5	2	0
2260	4	5	3	0
2261	4	5	4	0
2262	4	5	5	0
2263	4	5	6	0
2264	4	5	7	0
2265	4	5	8	0
2266	4	5	9	0
2267	4	5	10	0
2268	4	5	11	0
2269	4	5	12	0
2270	4	5	13	0
2271	4	5	14	0
2272	4	5	15	0
2273	4	5	16	0
2274	4	5	17	0
2275	4	5	18	0
2276	4	5	19	0
2277	4	5	20	0
2278	4	5	21	0
2279	4	5	22	0
2280	4	5	23	0
2281	4	6	0	0
2282	4	6	1	0
2283	4	6	2	0
2284	4	6	3	0
2285	4	6	4	0
2286	4	6	5	0
2287	4	6	6	0
2288	4	6	7	0
2289	4	6	8	0
2290	4	6	9	0
2291	4	6	10	0
2292	4	6	11	0
2293	4	6	12	0
2294	4	6	13	0
2295	4	6	14	0
2296	4	6	15	0
2297	4	6	16	0
2298	4	6	17	0
2299	4	6	18	0
2300	4	6	19	0
2301	4	6	20	0
2302	4	6	21	0
2303	4	6	22	0
2304	4	6	23	0
2305	4	7	0	0
2306	4	7	1	0
2307	4	7	2	0
2308	4	7	3	0
2309	4	7	4	0
2310	4	7	5	0
2311	4	7	6	0
2312	4	7	7	0
2313	4	7	8	0
2314	4	7	9	0
2315	4	7	10	0
2316	4	7	11	0
2317	4	7	12	0
2318	4	7	13	0
2319	4	7	14	0
2320	4	7	15	0
2321	4	7	16	0
2322	4	7	17	0
2323	4	7	18	0
2324	4	7	19	0
2325	4	7	20	0
2326	4	7	21	0
2327	4	7	22	0
2328	4	7	23	0
2329	4	8	0	0
2330	4	8	1	0
2331	4	8	2	0
2332	4	8	3	0
2333	4	8	4	0
2334	4	8	5	0
2335	4	8	6	0
2336	4	8	7	0
2337	4	8	8	0
2338	4	8	9	0
2339	4	8	10	0
2340	4	8	11	0
2341	4	8	12	0
2342	4	8	13	0
2343	4	8	14	0
2344	4	8	15	0
2345	4	8	16	0
2346	4	8	17	0
2347	4	8	18	0
2348	4	8	19	0
2349	4	8	20	0
2350	4	8	21	0
2351	4	8	22	0
2352	4	8	23	0
2353	4	9	0	0
2354	4	9	1	0
2355	4	9	2	0
2356	4	9	3	0
2357	4	9	4	0
2358	4	9	5	0
2359	4	9	6	0
2360	4	9	7	0
2361	4	9	8	0
2362	4	9	9	0
2363	4	9	10	0
2364	4	9	11	0
2365	4	9	12	0
2366	4	9	13	0
2367	4	9	14	0
2368	4	9	15	0
2369	4	9	16	0
2370	4	9	17	0
2371	4	9	18	0
2372	4	9	19	0
2373	4	9	20	0
2374	4	9	21	0
2375	4	9	22	0
2376	4	9	23	0
2377	4	10	0	0
2378	4	10	1	0
2379	4	10	2	0
2380	4	10	3	0
2381	4	10	4	0
2382	4	10	5	0
2383	4	10	6	0
2384	4	10	7	0
2385	4	10	8	0
2386	4	10	9	0
2387	4	10	10	0
2388	4	10	11	0
2389	4	10	12	0
2390	4	10	13	0
2391	4	10	14	0
2392	4	10	15	0
2393	4	10	16	0
2394	4	10	17	0
2395	4	10	18	0
2396	4	10	19	0
2397	4	10	20	0
2398	4	10	21	0
2399	4	10	22	0
2400	4	10	23	0
2401	4	11	0	0
2402	4	11	1	0
2403	4	11	2	0
2404	4	11	3	0
2405	4	11	4	0
2406	4	11	5	0
2407	4	11	6	0
2408	4	11	7	0
2409	4	11	8	0
2410	4	11	9	0
2411	4	11	10	0
2412	4	11	11	0
2413	4	11	12	0
2414	4	11	13	0
2415	4	11	14	0
2416	4	11	15	0
2417	4	11	16	0
2418	4	11	17	0
2419	4	11	18	0
2420	4	11	19	0
2421	4	11	20	0
2422	4	11	21	0
2423	4	11	22	0
2424	4	11	23	0
2425	4	12	0	0
2426	4	12	1	0
2427	4	12	2	0
2428	4	12	3	0
2429	4	12	4	0
2430	4	12	5	0
2431	4	12	6	0
2432	4	12	7	0
2433	4	12	8	0
2434	4	12	9	0
2435	4	12	10	0
2436	4	12	11	0
2437	4	12	12	0
2438	4	12	13	0
2439	4	12	14	0
2440	4	12	15	0
2441	4	12	16	0
2442	4	12	17	0
2443	4	12	18	0
2444	4	12	19	0
2445	4	12	20	0
2446	4	12	21	0
2447	4	12	22	0
2448	4	12	23	0
2449	4	13	0	0
2450	4	13	1	0
2451	4	13	2	0
2452	4	13	3	0
2453	4	13	4	0
2454	4	13	5	0
2455	4	13	6	0
2456	4	13	7	0
2457	4	13	8	0
2458	4	13	9	0
2459	4	13	10	0
2460	4	13	11	0
2461	4	13	12	0
2462	4	13	13	0
2463	4	13	14	0
2464	4	13	15	0
2465	4	13	16	0
2466	4	13	17	0
2467	4	13	18	0
2468	4	13	19	0
2469	4	13	20	0
2470	4	13	21	0
2471	4	13	22	0
2472	4	13	23	0
2473	4	14	0	0
2474	4	14	1	0
2475	4	14	2	0
2476	4	14	3	0
2477	4	14	4	0
2478	4	14	5	0
2479	4	14	6	0
2480	4	14	7	0
2481	4	14	8	0
2482	4	14	9	0
2483	4	14	10	0
2484	4	14	11	0
2485	4	14	12	0
2486	4	14	13	0
2487	4	14	14	0
2488	4	14	15	0
2489	4	14	16	0
2490	4	14	17	0
2491	4	14	18	0
2492	4	14	19	0
2493	4	14	20	0
2494	4	14	21	0
2495	4	14	22	0
2496	4	14	23	0
2497	4	15	0	0
2498	4	15	1	0
2499	4	15	2	0
2500	4	15	3	0
2501	4	15	4	0
2502	4	15	5	0
2503	4	15	6	0
2504	4	15	7	0
2505	4	15	8	0
2506	4	15	9	0
2507	4	15	10	0
2508	4	15	11	0
2509	4	15	12	0
2510	4	15	13	0
2511	4	15	14	0
2512	4	15	15	0
2513	4	15	16	0
2514	4	15	17	0
2515	4	15	18	0
2516	4	15	19	0
2517	4	15	20	0
2518	4	15	21	0
2519	4	15	22	0
2520	4	15	23	0
2521	4	16	0	0
2522	4	16	1	0
2523	4	16	2	0
2524	4	16	3	0
2525	4	16	4	0
2526	4	16	5	0
2527	4	16	6	0
2528	4	16	7	0
2529	4	16	8	0
2530	4	16	9	0
2531	4	16	10	0
2532	4	16	11	0
2533	4	16	12	0
2534	4	16	13	0
2535	4	16	14	0
2536	4	16	15	0
2537	4	16	16	0
2538	4	16	17	0
2539	4	16	18	0
2540	4	16	19	0
2541	4	16	20	0
2542	4	16	21	0
2543	4	16	22	0
2544	4	16	23	0
2545	4	17	0	0
2546	4	17	1	0
2547	4	17	2	0
2548	4	17	3	0
2549	4	17	4	0
2550	4	17	5	0
2551	4	17	6	0
2552	4	17	7	0
2553	4	17	8	0
2554	4	17	9	0
2555	4	17	10	0
2556	4	17	11	0
2557	4	17	12	0
2558	4	17	13	0
2559	4	17	14	0
2560	4	17	15	0
2561	4	17	16	0
2562	4	17	17	0
2563	4	17	18	0
2564	4	17	19	0
2565	4	17	20	0
2566	4	17	21	0
2567	4	17	22	0
2568	4	17	23	0
2569	4	18	0	0
2570	4	18	1	0
2571	4	18	2	0
2572	4	18	3	0
2573	4	18	4	0
2574	4	18	5	0
2575	4	18	6	0
2576	4	18	7	0
2577	4	18	8	0
2578	4	18	9	0
2579	4	18	10	0
2580	4	18	11	0
2581	4	18	12	0
2582	4	18	13	0
2583	4	18	14	0
2584	4	18	15	0
2585	4	18	16	0
2586	4	18	17	0
2587	4	18	18	0
2588	4	18	19	0
2589	4	18	20	0
2590	4	18	21	0
2591	4	18	22	0
2592	4	18	23	0
2593	4	19	0	0
2594	4	19	1	0
2595	4	19	2	0
2596	4	19	3	0
2597	4	19	4	0
2598	4	19	5	0
2599	4	19	6	0
2600	4	19	7	0
2601	4	19	8	0
2602	4	19	9	0
2603	4	19	10	0
2604	4	19	11	0
2605	4	19	12	0
2606	4	19	13	0
2607	4	19	14	0
2608	4	19	15	0
2609	4	19	16	0
2610	4	19	17	0
2611	4	19	18	0
2612	4	19	19	0
2613	4	19	20	0
2614	4	19	21	0
2615	4	19	22	0
2616	4	19	23	0
2617	4	20	0	0
2618	4	20	1	0
2619	4	20	2	0
2620	4	20	3	0
2621	4	20	4	0
2622	4	20	5	0
2623	4	20	6	0
2624	4	20	7	0
2625	4	20	8	0
2626	4	20	9	0
2627	4	20	10	0
2628	4	20	11	0
2629	4	20	12	0
2630	4	20	13	0
2631	4	20	14	0
2632	4	20	15	0
2633	4	20	16	0
2634	4	20	17	0
2635	4	20	18	0
2636	4	20	19	0
2637	4	20	20	0
2638	4	20	21	0
2639	4	20	22	0
2640	4	20	23	0
2641	4	21	0	0
2642	4	21	1	0
2643	4	21	2	0
2644	4	21	3	0
2645	4	21	4	0
2646	4	21	5	0
2647	4	21	6	0
2648	4	21	7	0
2649	4	21	8	0
2650	4	21	9	0
2651	4	21	10	0
2652	4	21	11	0
2653	4	21	12	0
2654	4	21	13	0
2655	4	21	14	0
2656	4	21	15	0
2657	4	21	16	0
2658	4	21	17	0
2659	4	21	18	0
2660	4	21	19	0
2661	4	21	20	0
2662	4	21	21	0
2663	4	21	22	0
2664	4	21	23	0
2665	4	22	0	0
2666	4	22	1	0
2667	4	22	2	0
2668	4	22	3	0
2669	4	22	4	0
2670	4	22	5	0
2671	4	22	6	0
2672	4	22	7	0
2673	4	22	8	0
2674	4	22	9	0
2675	4	22	10	0
2676	4	22	11	0
2677	4	22	12	0
2678	4	22	13	0
2679	4	22	14	0
2680	4	22	15	0
