N	M	D	H	Qh
201	1	9	8	53741.3925454246
202	1	9	9	53264.0312168212
203	1	9	10	52131.0301906226
204	1	9	11	50644.4502274917
205	1	9	12	49120.0185996036
206	1	9	13	47933.9600343963
207	1	9	14	47289.1185275273
208	1	9	15	46711.0543802676
209	1	9	16	47188.5921312264
210	1	9	17	47758.652907504
211	1	9	18	48412.6611658098
212	1	9	19	49142.8361914188
213	1	9	20	49766.2534755705
214	1	9	21	50273.2673630135
215	1	9	22	50694.2073116875
216	1	9	23	51173.8349807672
217	1	10	0	51687.1703188826
218	1	10	1	52250.6296641097
219	1	10	2	52703.2428444443
220	1	10	3	53035.7431422203
221	1	10	4	53278.8038309604
222	1	10	5	53440.7146659532
223	1	10	6	53548.5376127269
224	1	10	7	53587.7452841135
225	1	10	8	53227.937611183
226	1	10	9	52153.3279494008
227	1	10	10	50517.5159539249
228	1	10	11	48523.4980158566
229	1	10	12	44110.7757802968
230	1	10	13	40569.1529757973
231	1	10	14	38596.750273507
232	1	10	15	38322.5536793702
233	1	10	16	39206.3133930719
234	1	10	17	40066.7830429484
235	1	10	18	40925.6618307097
236	1	10	19	41763.5566558204
237	1	10	20	42562.8718770554
238	1	10	21	43307.6427140804
239	1	10	22	44022.4651910626
240	1	10	23	44671.0339860772
241	1	11	0	45279.0304054588
242	1	11	1	45830.6743699268
243	1	11	2	46331.1889351985
244	1	11	3	46765.7725050515
245	1	11	4	47160.076477445
246	1	11	5	47420.131435257
247	1	11	6	47577.9208665301
248	1	11	7	47623.3827528006
249	1	11	8	46895.3988829412
250	1	11	9	44617.5175937526
251	1	11	10	41005.8559405172
252	1	11	11	36709.3155213354
253	1	11	12	31429.7576967817
254	1	11	13	26950.3975535883
255	1	11	14	24263.1948932399
256	1	11	15	24191.8243843941
257	1	11	16	26209.4329193985
258	1	11	17	28235.4438931804
259	1	11	18	30249.5379710706
260	1	11	19	32272.3602269718
261	1	11	20	34166.3178325746
262	1	11	21	35962.8952234004
263	1	11	22	37651.5775834036
264	1	11	23	39105.5813652429
265	1	12	0	40327.1173209532
266	1	12	1	41357.2723986874
267	1	12	2	42194.2442812963
268	1	12	3	42875.4788010906
269	1	12	4	43395.8700037351
270	1	12	5	43828.9473844066
271	1	12	6	44182.8036687525
272	1	12	7	44464.7815040582
273	1	12	8	44351.0485959052
274	1	12	9	43580.6029846447
275	1	12	10	42278.5807841421
276	1	12	11	40658.1860099266
277	1	12	12	39012.8248491749
278	1	12	13	37736.907439546
279	1	12	14	37049.6168013744
280	1	12	15	37054.2010370912
281	1	12	16	37527.9237949258
282	1	12	17	38016.3609710962
283	1	12	18	38498.6082019111
284	1	12	19	38994.7797559671
285	1	12	20	39503.5850503461
286	1	12	21	40023.8531204479
287	1	12	22	40554.5215331244
288	1	12	23	41094.6263273672
289	1	13	0	41623.7523370114
290	1	13	1	42162.457686635
291	1	13	2	42690.3139598892
292	1	13	3	43208.3267088842
293	1	13	4	43717.4082856416
294	1	13	5	44120.6837284142
295	1	13	6	44447.5002825072
296	1	13	7	44685.4040282176
297	1	13	8	44046.8533462251
298	1	13	9	41278.5746672512
299	1	13	10	36547.3991931481
300	1	13	11	29978.0253727704
301	1	13	12	23602.8856349151
302	1	13	13	15492.3738220475
303	1	13	14	11293.1155964475
304	1	13	15	11265.5352975139
305	1	13	16	14246.736854227
306	1	13	17	17107.9486435076
307	1	13	18	19860.2919774999
308	1	13	19	22513.857383916
309	1	13	20	25058.2595944195
310	1	13	21	27484.0759045276
311	1	13	22	29821.8380586263
312	1	13	23	31982.0046486655
313	1	14	0	33961.4956587184
314	1	14	1	35796.5976464698
315	1	14	2	37481.1528309124
316	1	14	3	39048.6552688685
317	1	14	4	40490.4135028232
318	1	14	5	41759.4605466036
319	1	14	6	42891.3447744037
320	1	14	7	43879.2386406419
321	1	14	8	43812.9215376421
322	1	14	9	43372.1855353667
323	1	14	10	42252.0703400437
324	1	14	11	40778.7904944769
325	1	14	12	39298.920307931
326	1	14	13	38120.3163475789
327	1	14	14	37573.3542147998
328	1	14	15	37672.4447624213
329	1	14	16	38284.2707925136
330	1	14	17	38839.3894182911
331	1	14	18	39362.597144526
332	1	14	19	39837.311098654
333	1	14	20	40248.4854000249
334	1	14	21	40602.0092534106
335	1	14	22	40903.2260196682
336	1	14	23	41176.5243579623
337	1	15	0	41404.951351484
338	1	15	1	41612.2064738488
339	1	15	2	41839.3331513982
340	1	15	3	42064.949028628
341	1	15	4	42308.7346852128
